clip	duration[ms]
common_voice_he_39675814.mp3	4500
common_voice_he_39686743.mp3	4176
common_voice_he_40001956.mp3	5940
common_voice_he_38130935.mp3	4320
common_voice_he_39838437.mp3	4140
common_voice_he_39860882.mp3	2196
common_voice_he_39538761.mp3	2916
common_voice_he_39211558.mp3	3996
common_voice_he_39422811.mp3	3240
common_voice_he_41019362.mp3	8640
common_voice_he_39211757.mp3	2556
common_voice_he_38154546.mp3	4356
common_voice_he_39562274.mp3	6120
common_voice_he_39659143.mp3	3780
common_voice_he_38712569.mp3	3348
common_voice_he_39844328.mp3	6012
common_voice_he_39592768.mp3	4356
common_voice_he_38094117.mp3	5076
common_voice_he_38169215.mp3	6300
common_voice_he_41605179.mp3	6336
common_voice_he_41486333.mp3	6156
common_voice_he_39673768.mp3	3960
common_voice_he_39948327.mp3	5328
common_voice_he_39356107.mp3	3600
common_voice_he_38169218.mp3	3096
common_voice_he_39960359.mp3	5508
common_voice_he_39211580.mp3	5436
common_voice_he_38118879.mp3	7920
common_voice_he_39831309.mp3	4068
common_voice_he_39889052.mp3	3780
common_voice_he_39028637.mp3	3240
common_voice_he_39675832.mp3	4680
common_voice_he_39686282.mp3	5616
common_voice_he_39333432.mp3	3276
common_voice_he_39280376.mp3	5796
common_voice_he_38169220.mp3	4320
common_voice_he_39753116.mp3	4500
common_voice_he_38130972.mp3	6048
common_voice_he_39592627.mp3	4968
common_voice_he_39609521.mp3	4140
common_voice_he_39317938.mp3	4248
common_voice_he_39753716.mp3	4176
common_voice_he_43512777.mp3	6228
common_voice_he_39924494.mp3	3816
common_voice_he_39753656.mp3	5112
common_voice_he_40067778.mp3	5760
common_voice_he_39317936.mp3	4068
common_voice_he_39934746.mp3	2988
common_voice_he_39280354.mp3	3600
common_voice_he_39334345.mp3	2988
common_voice_he_39545640.mp3	3420
common_voice_he_41605180.mp3	8496
common_voice_he_39318452.mp3	6228
common_voice_he_38154214.mp3	7236
common_voice_he_39609272.mp3	5580
common_voice_he_38756676.mp3	4536
common_voice_he_43503056.mp3	4392
common_voice_he_39609386.mp3	4608
common_voice_he_38130992.mp3	4608
common_voice_he_39515298.mp3	3420
common_voice_he_38142068.mp3	6084
common_voice_he_40067777.mp3	6300
common_voice_he_39937162.mp3	4392
common_voice_he_39211714.mp3	2988
common_voice_he_39667023.mp3	3348
common_voice_he_42358472.mp3	4356
common_voice_he_39318444.mp3	5760
common_voice_he_41486336.mp3	6840
common_voice_he_38994409.mp3	5220
common_voice_he_39553651.mp3	3780
common_voice_he_39831297.mp3	3744
common_voice_he_43485439.mp3	9396
common_voice_he_38130997.mp3	4500
common_voice_he_39897651.mp3	3348
common_voice_he_39541228.mp3	4068
common_voice_he_38569669.mp3	7632
common_voice_he_38131036.mp3	3060
common_voice_he_43281987.mp3	6120
common_voice_he_39427329.mp3	4320
common_voice_he_39280377.mp3	3888
common_voice_he_39333859.mp3	3996
common_voice_he_39972333.mp3	7488
common_voice_he_38169213.mp3	4176
common_voice_he_39658866.mp3	6696
common_voice_he_39666477.mp3	3960
common_voice_he_38154492.mp3	5436
common_voice_he_39960310.mp3	3060
common_voice_he_38635201.mp3	5436
common_voice_he_39353654.mp3	3060
common_voice_he_39888983.mp3	3168
common_voice_he_39541298.mp3	4248
common_voice_he_39831344.mp3	5904
common_voice_he_39553417.mp3	3168
common_voice_he_38835591.mp3	2088
common_voice_he_38712568.mp3	3600
common_voice_he_38154500.mp3	5328
common_voice_he_39211819.mp3	4356
common_voice_he_43498362.mp3	4176
common_voice_he_39327097.mp3	4680
common_voice_he_40001946.mp3	3456
common_voice_he_39541916.mp3	4716
common_voice_he_39317652.mp3	5148
common_voice_he_38848960.mp3	3816
common_voice_he_39327006.mp3	4968
common_voice_he_39319654.mp3	2736
common_voice_he_39609434.mp3	3528
common_voice_he_39686316.mp3	3780
common_voice_he_39676674.mp3	4680
common_voice_he_39869367.mp3	5760
common_voice_he_39028905.mp3	3096
common_voice_he_39597100.mp3	3240
common_voice_he_41616773.mp3	5868
common_voice_he_39666702.mp3	5256
common_voice_he_39676111.mp3	3708
common_voice_he_43503044.mp3	4284
common_voice_he_43503036.mp3	7128
common_voice_he_38623333.mp3	3816
common_voice_he_39836666.mp3	4536
common_voice_he_43512945.mp3	4932
common_voice_he_39211787.mp3	5508
common_voice_he_39597815.mp3	4176
common_voice_he_39545502.mp3	3600
common_voice_he_39514207.mp3	4320
common_voice_he_39891404.mp3	3348
common_voice_he_38569741.mp3	5184
common_voice_he_39280150.mp3	4500
common_voice_he_39673662.mp3	4428
common_voice_he_39753283.mp3	4536
common_voice_he_39514190.mp3	3528
common_voice_he_39446790.mp3	3600
common_voice_he_39334335.mp3	5688
common_voice_he_39753245.mp3	4896
common_voice_he_39211817.mp3	3780
common_voice_he_39334338.mp3	6480
common_voice_he_39515065.mp3	4248
common_voice_he_39539858.mp3	4176
common_voice_he_41616770.mp3	6228
common_voice_he_39553732.mp3	4068
common_voice_he_39027546.mp3	3096
common_voice_he_39514213.mp3	3780
common_voice_he_39427328.mp3	4176
common_voice_he_39890638.mp3	3708
common_voice_he_39318911.mp3	3708
common_voice_he_38371340.mp3	5076
common_voice_he_39676113.mp3	7488
common_voice_he_39280177.mp3	3960
common_voice_he_39553549.mp3	4428
common_voice_he_39625721.mp3	2880
common_voice_he_38828704.mp3	2988
common_voice_he_39666652.mp3	4896
common_voice_he_39960253.mp3	4680
common_voice_he_39561005.mp3	3708
common_voice_he_39553436.mp3	5940
common_voice_he_39860887.mp3	5256
common_voice_he_38154416.mp3	5760
common_voice_he_39333365.mp3	5256
common_voice_he_41605160.mp3	5040
common_voice_he_38130980.mp3	4716
common_voice_he_39379435.mp3	4176
common_voice_he_39686384.mp3	3636
common_voice_he_39836656.mp3	4428
common_voice_he_39642814.mp3	3816
common_voice_he_39427372.mp3	4608
common_voice_he_41617130.mp3	7452
common_voice_he_39545514.mp3	4968
common_voice_he_39625393.mp3	3816
common_voice_he_38131005.mp3	4068
common_voice_he_38142083.mp3	6696
common_voice_he_38569672.mp3	3564
common_voice_he_39625422.mp3	4788
common_voice_he_39334315.mp3	2628
common_voice_he_39849075.mp3	3240
common_voice_he_39539856.mp3	3060
common_voice_he_39849010.mp3	5508
common_voice_he_39545476.mp3	5976
common_voice_he_39541214.mp3	4428
common_voice_he_39327068.mp3	6696
common_voice_he_39553824.mp3	3636
common_voice_he_39028727.mp3	3060
common_voice_he_39889034.mp3	6336
common_voice_he_39753226.mp3	4176
common_voice_he_39934748.mp3	5508
common_voice_he_39686709.mp3	3456
common_voice_he_39546141.mp3	3636
common_voice_he_41984278.mp3	7848
common_voice_he_39666585.mp3	6120
common_voice_he_39318897.mp3	3456
common_voice_he_43512776.mp3	6876
common_voice_he_38756679.mp3	3060
common_voice_he_38610899.mp3	3636
common_voice_he_39333463.mp3	3420
common_voice_he_39626079.mp3	2880
common_voice_he_39925717.mp3	4320
common_voice_he_41616629.mp3	7236
common_voice_he_39027851.mp3	4680
common_voice_he_39598670.mp3	4140
common_voice_he_39261394.mp3	3996
common_voice_he_39676123.mp3	3420
common_voice_he_39860888.mp3	3348
common_voice_he_38169217.mp3	6480
common_voice_he_38131045.mp3	3276
common_voice_he_39686757.mp3	4428
common_voice_he_39772249.mp3	4140
common_voice_he_39883392.mp3	4320
common_voice_he_39317688.mp3	4428
common_voice_he_38848923.mp3	4968
common_voice_he_39796048.mp3	7668
common_voice_he_40072388.mp3	3780
common_voice_he_39545464.mp3	6480
common_voice_he_39954465.mp3	4860
common_voice_he_39831239.mp3	3636
common_voice_he_39869355.mp3	3168
common_voice_he_38131040.mp3	4140
common_voice_he_39903467.mp3	3240
common_voice_he_39836664.mp3	3456
common_voice_he_39597159.mp3	3816
common_voice_he_39515525.mp3	6228
common_voice_he_39609348.mp3	5940
common_voice_he_38154421.mp3	3600
common_voice_he_39280148.mp3	7020
common_voice_he_39753573.mp3	7668
common_voice_he_39667029.mp3	3348
common_voice_he_39960271.mp3	3168
common_voice_he_39179848.mp3	6408
common_voice_he_38131094.mp3	3528
common_voice_he_39666478.mp3	4716
common_voice_he_39211763.mp3	3708
common_voice_he_38770286.mp3	4716
common_voice_he_39211216.mp3	5616
common_voice_he_39849012.mp3	6336
common_voice_he_39326826.mp3	4608
common_voice_he_39333857.mp3	5508
common_voice_he_39211806.mp3	3060
common_voice_he_39939977.mp3	3456
common_voice_he_39897636.mp3	5616
common_voice_he_39750880.mp3	4140
common_voice_he_38154442.mp3	3600
common_voice_he_39541216.mp3	4428
common_voice_he_43313141.mp3	5076
common_voice_he_39185960.mp3	4320
common_voice_he_39027650.mp3	3816
common_voice_he_39184067.mp3	3456
common_voice_he_39890617.mp3	3996
common_voice_he_39562283.mp3	3780
common_voice_he_39196637.mp3	2376
common_voice_he_39592747.mp3	4896
common_voice_he_38830041.mp3	5436
common_voice_he_39185959.mp3	2520
common_voice_he_39805370.mp3	5328
common_voice_he_38130909.mp3	5760
common_voice_he_38569732.mp3	5040
common_voice_he_39009352.mp3	3168
common_voice_he_39427349.mp3	2880
common_voice_he_39515067.mp3	3780
common_voice_he_39658856.mp3	4428
common_voice_he_39697768.mp3	4716
common_voice_he_38130991.mp3	4896
common_voice_he_41616699.mp3	5328
common_voice_he_41605207.mp3	7416
common_voice_he_39753653.mp3	5544
common_voice_he_39658844.mp3	5508
common_voice_he_39515440.mp3	3240
common_voice_he_39333354.mp3	4140
common_voice_he_39831251.mp3	3348
common_voice_he_39675853.mp3	3276
common_voice_he_39814531.mp3	3096
common_voice_he_38154489.mp3	5076
common_voice_he_39960194.mp3	3996
common_voice_he_43313118.mp3	3276
common_voice_he_39261437.mp3	6156
common_voice_he_39553665.mp3	5616
common_voice_he_39838490.mp3	3636
common_voice_he_38130915.mp3	7920
common_voice_he_39500329.mp3	3528
common_voice_he_39514701.mp3	2988
common_voice_he_39625735.mp3	3960
common_voice_he_39515443.mp3	4248
common_voice_he_39609349.mp3	3636
common_voice_he_38994321.mp3	2556
common_voice_he_39934779.mp3	4500
common_voice_he_39422735.mp3	3816
common_voice_he_42358474.mp3	6840
common_voice_he_39889041.mp3	4428
common_voice_he_39609240.mp3	3636
common_voice_he_39334319.mp3	4068
common_voice_he_39897669.mp3	2808
common_voice_he_39592799.mp3	3528
common_voice_he_39753246.mp3	4464
common_voice_he_39553671.mp3	3060
common_voice_he_38142081.mp3	9972
common_voice_he_38371342.mp3	3780
common_voice_he_39666772.mp3	3960
common_voice_he_38824087.mp3	4860
common_voice_he_39666460.mp3	3060
common_voice_he_38848958.mp3	2628
common_voice_he_39658868.mp3	3600
common_voice_he_39379889.mp3	4068
common_voice_he_38131072.mp3	5616
common_voice_he_38130924.mp3	6408
common_voice_he_38638990.mp3	4500
common_voice_he_39553415.mp3	4608
common_voice_he_38835579.mp3	3456
common_voice_he_39598707.mp3	3276
common_voice_he_39211711.mp3	3060
common_voice_he_39553537.mp3	3240
common_voice_he_39539857.mp3	3168
common_voice_he_38744647.mp3	5292
common_voice_he_39675868.mp3	4356
common_voice_he_38085645.mp3	6948
common_voice_he_38154413.mp3	5508
common_voice_he_41616811.mp3	4860
common_voice_he_39676129.mp3	4536
common_voice_he_39572841.mp3	3996
common_voice_he_39925737.mp3	5580
common_voice_he_39897646.mp3	3996
common_voice_he_39553521.mp3	6300
common_voice_he_39667934.mp3	3420
common_voice_he_39516172.mp3	3636
common_voice_he_39334321.mp3	4788
common_voice_he_39446786.mp3	3420
common_voice_he_39609517.mp3	6588
common_voice_he_39828672.mp3	6300
common_voice_he_38835574.mp3	4356
common_voice_he_39211144.mp3	4248
common_voice_he_41605168.mp3	4680
common_voice_he_39836660.mp3	4140
common_voice_he_43503045.mp3	7344
common_voice_he_39889030.mp3	3420
common_voice_he_39461907.mp3	6048
common_voice_he_38154405.mp3	4608
common_voice_he_39609302.mp3	3096
common_voice_he_40909700.mp3	4068
common_voice_he_38610898.mp3	3456
common_voice_he_40801213.mp3	3888
common_voice_he_39960343.mp3	3816
common_voice_he_39211538.mp3	3096
common_voice_he_38131161.mp3	3888
common_voice_he_41616580.mp3	6228
common_voice_he_39693884.mp3	6768
common_voice_he_38800497.mp3	3888
common_voice_he_39609250.mp3	3456
common_voice_he_39027653.mp3	3780
common_voice_he_39972330.mp3	4896
common_voice_he_39541307.mp3	4680
common_voice_he_39838430.mp3	4536
common_voice_he_39263947.mp3	5256
common_voice_he_39666673.mp3	3348
common_voice_he_39562238.mp3	4356
common_voice_he_38848995.mp3	3348
common_voice_he_39546152.mp3	4140
common_voice_he_39180190.mp3	3456
common_voice_he_41486335.mp3	8460
common_voice_he_39514663.mp3	3456
common_voice_he_39333477.mp3	5076
common_voice_he_38131062.mp3	5328
common_voice_he_39180062.mp3	3276
common_voice_he_38131000.mp3	5328
common_voice_he_39960261.mp3	5580
common_voice_he_39515085.mp3	4248
common_voice_he_39356070.mp3	4428
common_voice_he_39960229.mp3	4320
common_voice_he_39831230.mp3	5040
common_voice_he_38848971.mp3	3528
common_voice_he_39261407.mp3	3276
common_voice_he_39972321.mp3	6480
common_voice_he_39326855.mp3	3816
common_voice_he_39972363.mp3	3960
common_voice_he_39667008.mp3	5220
common_voice_he_38848979.mp3	4860
common_voice_he_39099830.mp3	4320
common_voice_he_43512964.mp3	5004
common_voice_he_39940035.mp3	4428
common_voice_he_39889035.mp3	6300
common_voice_he_41605193.mp3	5040
common_voice_he_39261428.mp3	6336
common_voice_he_39196698.mp3	4860
common_voice_he_39528306.mp3	3888
common_voice_he_43539846.mp3	4068
common_voice_he_43503067.mp3	4860
common_voice_he_39263959.mp3	2988
common_voice_he_39677292.mp3	3996
common_voice_he_39541208.mp3	3960
common_voice_he_39561013.mp3	2880
common_voice_he_38154412.mp3	3888
common_voice_he_39784748.mp3	4788
common_voice_he_43498355.mp3	5256
common_voice_he_39446434.mp3	4140
common_voice_he_39849006.mp3	3600
common_voice_he_39686759.mp3	4176
common_voice_he_40978574.mp3	4284
common_voice_he_39317644.mp3	4068
common_voice_he_39261427.mp3	3708
common_voice_he_39543665.mp3	3816
common_voice_he_39446663.mp3	3816
common_voice_he_38130984.mp3	5688
common_voice_he_39677266.mp3	4680
common_voice_he_39609256.mp3	3096
