sentence_id	sentence	sentence_domain	source	is_used	clips_count
047f62a45aa5d9fc9c81fbe1b7aee67574c0dc30144fb9b987fa7aabe986a3b3	נוטלים ידיים ומברכים המוציא על לחם ואחרי הארוחה ברכת המזון		ציטוט עצמי	1	0
04f1dc4c7b35a5d4ec84573fc60aafd85f1a80f326fd7cbe0fdd8b1cee5b25b1	"""וכמובן ה""שיהאב"" או ה""עשורא"" הנוסף שהם פיתחו"""		???? ????? - https://fs.knesset.gov.il//17/Plenum/17_ptm_129420.doc	1	0
0ca9e5470a44f7ba39e0e1176b1ba9a0ee21713f4f1b0aee640a6e4fb3c62f14	עשית את שיעורי הבית במתמטיקה?	general	ציטוט עצמי	1	0
0d94a4d6bb290e7234d59b65c4d6e64449a4ec70fc2231a2321ba1cee9116450	אחת הדוגמאות שדנו בה בשבוע שעבר היתה נושא ניסור עצי הזית בעינאבוס		???? ????? - https://fs.knesset.gov.il//16/Plenum/16_ptm_129184.doc	1	0
18013b3f2e9c357b272f32331ec3d96f11b1d66d9faa3eb27e907955b52762f0	וְנָהַמְתָּ֥ בְאַחֲרִיתֶ֑ךָ בִּכְל֥וֹת בְּ֝שָׂרְךָ֗ וּשְׁאֵרֶֽךָ׃		book of proverbs	1	0
1884059a9d4549de906f9d108242e1dfa7f6686c9eaca50533e89482b6343967	מֹ֣נֵֽעַ בָּ֭ר יִקְּבֻ֣הוּ לְא֑וֹם וּ֝בְרָכָ֗ה לְרֹ֣אשׁ מַשְׁבִּֽיר׃		book of proverbs	1	0
188487507109615a7dc78888fbefdd43695d3fa8db128326982dac3142cbdf79	קֹרֵ֣ץ בְּ֭עֵינָיו מֹלֵ֣ל בְּרַגְלָ֑ו מֹ֝רֶ֗ה בְּאֶצְבְּעֹתָֽיו׃		book of proverbs	1	0
1e3c54c794d679ba8924c787add0a877849a6550d4a0b0c097d936cb64c26cbe	יש לה ציבע שיער שָׁטֶנִי 		ציטוט עצמי	1	0
23ca95d6a6c1bd1dadab5ac743da532b5e45ee9d2937c549bd3815ae6b5dd0d6	"""הרי הרמב""ם עלה לארץ במאמצים גדולים"""		???? ????? - https://fs.knesset.gov.il//16/Plenum/16_ptm_129150.doc	1	0
2488289bdceb0c3bf093101641bd22ec93ce5e18b0454fc52795fe473a80c1a8	צריך להחליף נורה. למזלנו התושבת מתברגת יפה		ציטוט עצמי 	1	0
