filename	reference_text	transcribed_text
common_voice_he_42922381	אלא מבטאים גם השגים ב תחומי ה ספורט וה אמנות	אלה מבטאים גם השגים ב תחומי ה ספורט וה אמנות
common_voice_he_41896622	יום ה זכרון הוא יום של משפחת ה שכול כלה	יום ה זכרון הוא יום של משפחת ה שכול כלה
common_voice_he_42358470	ו הם נמצאים ב מקום ה זה לא ב התלהבות ו לא ב שמחה	ו הם נמצאים ב מקום ה זה לא ב התלהבות ו לא ב שמחה
common_voice_he_43313168	אז ל צערי אנחנו לא יכולים לעשות הרבה	אז ל צערי אנחנו לא יכולים לעשות הרבה
common_voice_he_40977318	ה עיר ה פתוחה אז לפני כ שנתים ו משהו	ה עיר ה פתוחה אז לפני כ שנתים ו משהו
common_voice_he_42402440	הוא אמר אני מחלק צקים פתוחים	הוא אמר אני מחלק צקים פתוחים
common_voice_he_43281947	זו חויה לא ה כי נעימה ב עולם	זו חבירה לא ה כי נעימה ב עולם
common_voice_he_43281958	ה מספרים ש התפרסמו ב תקשרת הם לא נכונים	ה מספרים ש התפרסמו ב תקשרת הם לא נכונים
common_voice_he_42487978	אני רץ ל מכלת אני לא יכול לדבר	אני רץ ל מכלת אני לא יכול לדבר
common_voice_he_42487979	ש ילדים קטנים ו בני נער צורכים סמים	ש ילדים קטנים ו בני נער צורכים סמים
common_voice_he_41019361	זר הוא תאגיד שה שליטה בו היא בידי זר	זר הוא תאגיד שה שליטה בו היא בידי זר
common_voice_he_41019364	הארכת חיים מצילות חיים מ אריכות חיים	הערכת חיים מצילות חיים מ אריכות חיים
common_voice_he_41616556	קוי רכבת כמו אשקלון שדרות באר שבע	קוי רכבת כמו אשקלון שדרות באר שבע
common_voice_he_41616557	יהדות ה תורה מציעה שנוי ב מדיניות ה כלכלית ה חברתית	יהדות ה תורה מציעה שנוי ב מדיניות ה כלכלית ה חברתית
common_voice_he_41616558	מכרסם ב אזניך במשך שעות תמימות ללא הפסקה	מכרסם ב אזניך במשך שעות תמימות ללא הפסקה
