filename	reference_text	transcribed_text
common_voice_he_42922381	אלא מבטאים גם השהים בתחומי הספורט והאמנות	אלה מבטאים גם השהים בתחומי הספורט והאמנות
common_voice_he_41896622	יום כזהרון הוא יום של משפחת השכול כלה	יום כזהרון הוא יום של משפחת השכול כלה
common_voice_he_42358470	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה
common_voice_he_43313168	אז לצערי אנחנו לא יכולים לעשות הרבה	אז לצערי אנחנו לא יכולים לעשות הרבה
common_voice_he_40977318	העיר הפתוחה אז לפני כשתנים ומשהו	העיר הפתוחה אז לפני כשתנים ומשהו
common_voice_he_42402440	הוא אמר אני מחלק צקים פתוחים	הוא אמר אני מחלק צקים פתוחים
common_voice_he_43281947	זו חויג לא הכי נעימה בעולם	זו חבירה לא הכי נעימה בעולם
common_voice_he_43281958	המספרים שהתפרסמו תקשרת הם לא נכונים	המספרים שהתפרסמו תקשרת הם לא נכונים
common_voice_he_42487978	אני רץ למכלת אני לא יכול לדבר	אני רץ למכלת אני לא יכול לדבר
common_voice_he_42487979	שילדים קטנים ובני נער צורכים סמים	שילדים קטנים ובני נער צורכים סמים
common_voice_he_41019361	זר הוא תאגיד שהשליטה בו היא בידי זר	זר הוא תאגיד שהשליטה בו היא בידי זר
common_voice_he_41019364	הארכת חיים מצילות חיים מאריכות חיים	הערכת חיים מצילות חיים מאריכות חיים
common_voice_he_41616556	וקי רכבת כמו אשקלון שדרות באר שבע	וקי רכבת כמו אשקלון שדרות באר שבע
common_voice_he_41616557	יהדות התורה מציעה שנוי במדיניות הכלכלית החברתית	יהדות התורה מציעה שנוי במדיניות הכלכלית החברתית
common_voice_he_41616558	מכרסם בזניך במשך שעות תמימות ללא הפסקה	מכרסם בזניך במשך שעות תמימות ללא הפסקה
common_voice_he_39350850	גם הורדו ופטליו לרמת כפת חולים	גם הורדו ופטליו לרמת כפת חולים
common_voice_he_39350851	הטנור שלנו שכח את קולו בביתו	הטנור שלנו שכח את קולו בבית
common_voice_he_39350852	יש שם קבוצה מערבת מעבריינם מהסוגים השונים	יש שם קבוצה מערבת מעבריינם מהסוגים השונים
common_voice_he_40630793	קניון הדר הוא נכדת החלפה בין אוטובוסים שונים	קניון הדר הוא נכדת החלפה בין אוטובוסים שונים
common_voice_he_40630794	שבארצות הברית למשל יש בחינה פעם אחת בשנה	כשבארצות הברית למשל יש בחינה פעם אחת בשנה
common_voice_he_40630795	אני לא מכיר מנגנון כזה בשום תחום	אני לא מכיר מנגנון כזה בשום תחום
common_voice_he_41066670	גם החשובים מבחינה פיננסית זה צחוק	גם החשובים מבחינה פיננסית זה צחוק
common_voice_he_41066672	בוא נתן לזה קצת זמן ונראה איך הדברים מתנהלים	בוא נתן לזה קצת זמן ונראה איך הדברים מתנהלים
common_voice_he_41066673	מתנהלת בפומבי בבית משפט בדליתם פתוחות	מתנהלת בפומבי בבית משפט בדליתם פתוחות
common_voice_he_40858574	שלא זו בלבד שזה לא מביא צמיחה	שלא זו בלבד שזה לא מביא צמיחה
common_voice_he_40858577	הכרה זו אינה פוטרת את הספורטאים משרות	הכרה זו אינה פוטרת את הספורטאים משרות
common_voice_he_40858579	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל אביב	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל אביב
common_voice_he_38283249	ההכנסה היותר גדולה היא ממכירת בולים	ההכנסה היותר גדולה היא ממכירת בולים
common_voice_he_38283250	אהבתי אתכם ספנים היוצאים בשיר זמר תמים	אהבתי אתכם ספנים היוצאים בשיר זמר תמים
common_voice_he_38283253	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון
common_voice_he_41869858	מאמץ מרכז לעתור ולהחרמת אמצעי לחימה בלתי כקיים	מאמץ מרכז לעתור ולהחרמת אמצעי לחימה בלתי כקיים
common_voice_he_41869860	כשממקמים מתקן גז הקף כזה בתוך אזור שממילא הוא רווי במפעלים וחמרים מסכנים	כשממקמים מתקן גז הקף כזה בתוך אזור שממלא הוא רווי מפעלים וחמרים מסכנים
common_voice_he_41869861	באמת תודה רבה לכל אלה ששפתים	באמת תודה רבה לכל אלה ששפתים
common_voice_he_38883182	ואלו מה ששיך לקרע בנפש הרי זה ברור ומובן	ואלו מה ששיך לקרע בנפש הרי זה ברור ומובן
common_voice_he_38883183	הוא לא אליה אברהם יצחק ויעקב	ולא אליה אברהם יצחק ויעקב
common_voice_he_38883184	ערשו היא התחילה לספת מפני מה הסתלקו להן כל שאר העבדות	ערשו היא התחילה לספת מפני מה הסתלקו להן כל שאר העבדות
common_voice_he_38883186	עשיתי כסף רב והנה באחד הימים הלך כל הכסף לעזאזל בעסק ביש	עשיתי כסף רב והנה באחד הימים הלך כל הכסף לעזאזל בעסק ביש
common_voice_he_41486333	הארנונה בדימונה מהזמת לעמת ירחם	הארנונה בדימונה מהזמת לעמת ירחם
common_voice_he_41486334	לבין סטודנטים שלמדו כאן באוניברסיטאות בארץ	לבין סטודנטים שלמדו כאן באוניברסיטאות בארץ
common_voice_he_41486336	שמעתי שם הערות מאוד מאנינות לגבי תכנית ההתנתקות והיציאה מעזה	שמעתי שהמערות מאוד מאנינות לגבי תכנית ההתנתקות והיציאה מעזה
