filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_42922381,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_41896622,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_42358470,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_43313168,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40977318,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_42402440,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_43281947,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_43281958,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_42487978,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_42487979,5,6,3,2,1,0,0.600,0.600,0.500,0.545
common_voice_he_41019361,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41019364,6,6,3,3,0,0,0.500,0.500,0.500,0.500
common_voice_he_41616556,4,7,3,1,3,0,1,0.750,0.429,0.545
common_voice_he_41616557,6,7,5,1,1,0,0.333,0.833,0.714,0.769
common_voice_he_41616558,7,7,0,7,0,0,1,0,0,0
common_voice_he_39350850,5,6,4,1,1,0,0.400,0.800,0.667,0.727
common_voice_he_39350851,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39350852,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40630793,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_40630794,7,8,5,2,1,0,0.429,0.714,0.625,0.667
common_voice_he_40630795,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41066670,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41066672,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_41066673,5,6,2,3,1,0,0.800,0.400,0.333,0.364
common_voice_he_40858574,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40858577,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40858579,8,9,7,1,1,0,0.250,0.875,0.778,0.824
common_voice_he_38283249,6,6,0,6,0,0,1,0,0,0
common_voice_he_38283250,7,7,0,7,0,0,1,0,0,0
common_voice_he_38283253,7,7,0,7,0,0,1,0,0,0
common_voice_he_41869858,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41869860,13,13,10,3,0,0,0.231,0.769,0.769,0.769
common_voice_he_41869861,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_38883182,9,9,0,9,0,0,1,0,0,0
common_voice_he_38883183,6,5,3,2,0,1,0.500,0.500,0.600,0.545
common_voice_he_38883184,11,11,0,11,0,0,1,0,0,0
common_voice_he_38883186,12,12,0,12,0,0,1,0,0,0
common_voice_he_41486333,5,5,4,1,0,0,0.200,0.800,0.800,0.800
common_voice_he_41486334,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41486336,10,9,7,2,0,1,0.300,0.700,0.778,0.737
common_voice_he_41486337,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_40972184,6,7,3,3,1,0,0.667,0.500,0.429,0.462
common_voice_he_40972185,6,7,3,3,1,0,0.667,0.500,0.429,0.462
common_voice_he_40972186,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_40972188,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_40909673,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40909674,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_40909676,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40909677,6,6,2,4,0,0,0.667,0.333,0.333,0.333
common_voice_he_39897721,9,8,6,2,0,1,0.333,0.667,0.750,0.706
common_voice_he_39897722,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_39897723,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39897724,6,4,3,1,0,2,0.500,0.500,0.750,0.600
common_voice_he_43281934,6,5,3,2,0,1,0.500,0.500,0.600,0.545
common_voice_he_43281935,9,5,4,1,0,4,0.556,0.444,0.800,0.571
common_voice_he_43281936,12,12,10,2,0,0,0.167,0.833,0.833,0.833
common_voice_he_43281938,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_40067774,6,6,6,0,0,0,0,1,1,1
common_voice_he_40067775,5,6,3,2,1,0,0.600,0.600,0.500,0.545
common_voice_he_40067777,10,9,0,9,0,1,1,0,0,0
common_voice_he_40067778,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_38744643,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_38744644,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_38744646,7,7,0,7,0,0,1,0,0,0
common_voice_he_38744647,5,5,0,5,0,0,1,0,0,0
common_voice_he_38094978,4,4,0,4,0,0,1,0,0,0
common_voice_he_38094979,4,4,3,1,0,0,0.250,0.750,0.750,0.750
common_voice_he_38094980,6,6,0,6,0,0,1,0,0,0
common_voice_he_38094981,5,5,0,5,0,0,1,0,0,0
common_voice_he_39750876,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_39750877,9,10,7,2,1,0,0.333,0.778,0.700,0.737
common_voice_he_39750878,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_39750933,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39750937,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_38883685,5,5,0,5,0,0,1,0,0,0
common_voice_he_38883686,9,9,0,9,0,0,1,0,0,0
common_voice_he_38883687,3,3,0,3,0,0,1,0,0,0
common_voice_he_38883688,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38883689,3,3,3,0,0,0,0,1,1,1
common_voice_he_40972199,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40972200,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_40972201,14,14,12,2,0,0,0.143,0.857,0.857,0.857
common_voice_he_40972202,5,6,4,1,1,0,0.400,0.800,0.667,0.727
common_voice_he_40972203,9,9,7,2,0,0,0.222,0.778,0.778,0.778
common_voice_he_41617129,9,9,6,3,0,0,0.333,0.667,0.667,0.667
common_voice_he_41617130,10,9,7,2,0,1,0.300,0.700,0.778,0.737
common_voice_he_41617131,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41617133,6,6,3,3,0,0,0.500,0.500,0.500,0.500
common_voice_he_41617137,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_40137979,6,5,3,2,0,1,0.500,0.500,0.600,0.545
common_voice_he_40137980,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_40137981,9,10,6,3,1,0,0.444,0.667,0.600,0.632
common_voice_he_40137982,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40137983,13,14,10,3,1,0,0.308,0.769,0.714,0.741
