filename	reference_text	transcribed_text
common_voice_he_38094124	ו הנני קרה כ שמש ה סתיו	ו כי עניני תרע כ שמש עשתה
common_voice_he_38085646	ה גגון של תבן ו ה חלונות קטנים	ה גאול של שדה בל ב חלונות קטנים
common_voice_he_38568967	ראיתי אותה ב עיר ה בירה ב טרם עליתי ארצה	ראיתי אויר אוירה ב טרם עליתי ארץ
common_voice_he_38118867	חסר מים לכלוך מ בהיר זבובים ו מעל ל כל חול	חסר מים לכלוך מפעיל זבובים ו מ אל ה חול חול
common_voice_he_38568963	כל סמל הוא מועט ה מרמז ל הרבה	כל סמל מועט מ הרמת ב הרבה
common_voice_he_38118869	כעת הנהו בן שבע	כעת אילנו בן שבת
common_voice_he_38078783	רוח צוננת חדה השתוללה ב רחובות	רוח סרננו חטא השתוללה ב כלבות
common_voice_he_38078787	חתול דע לך לעולם אינו ניזוק ב נפילה	חתול דע לך לעולם אלו נזעק ו נטילה
common_voice_he_38196123	מדוע ה פנים שלך כה רעים	מדוע ה פנים שלי קוראים
common_voice_he_40909677	לא אצל ה מבטלים ו לא אצל ה חרדים	לא יוצא ל מבטלים ו לא יוצא ל חרדים
common_voice_he_38744647	לעסת ה חמורים השרתה מנוחה ב אסם	ל עיסת ה חמורים נשרתה מנוחה ב אסם
common_voice_he_38104809	אין לו דפוסים קבועים או נסח אחת	אינו דפוסים תלויים או נסח אחת
common_voice_he_38085644	לפי דעתי הרי טוב ש מצאת אגרת זו	לפי דעתי הרי טוב ש מצאת יגאל את זה
common_voice_he_38142067	זקנה על מטתה ב אפל מאנחת	זקנה על מטתה ב אפל נתן אחת
common_voice_he_38078773	כוכבי שמים זה עם זה סכים	כאבי שמים זה עם זה סכין
common_voice_he_38085637	אדע אותה ב זמן ה קרוב	עדה אותה ב זמן ה קלוף
common_voice_he_38118861	ה ירח מאוד בהיר ה לילה	ה ירח מאוד בהיר על ה עגה
common_voice_he_38196115	דרך ארכה עברנו	דרך הרחקה עברנו
common_voice_he_38568964	ומש מתחיילים לדבר על ה בית ה עיניים מאירות ב מין ברק מתגעגע ו חולם	ומש מתחיילים לדבר על ה בית ה עיניים מהירות ב מדברת אנרגיה ו חוללת
common_voice_he_40972185	סגניו מאימים רימונים הושלכו לתוך חצרותיהם	סגניו מאימים אמונים הושלכו לתוך עוצרותיהם
common_voice_he_38146666	כאשר באה שירת ה פליטים היה יוסי ה ילד ה יחיד בין כל אלה ש באו	כאשר בא שירת ה פליטים היה יוסי ה ילד ה יחיד בין כל ה ילד של פעור
common_voice_he_38118877	היא נגועה ב אי צדק כלפי ה צד ה פלסטיני	אי נגוח ו אי צדק כלפי ה צד ה פלסטיני
common_voice_he_38568966	ב שעה ש דני ו אבישי ו אתי ו רותי קפצו מעל ערמת ה קש עמד יוסי מן ה צד	ב שעה ש דני ו אבישי ו אתי ב רותי קפצו מעל ערמת ה קיץ עמד יוסי ל ימין עצב
common_voice_he_43281934	אלא אם כן יש מי ש מתנגד	עליהם כן יש מי ש מתנגד
common_voice_he_38118879	אפילו ה גוי מה כפר שלי מ אוקראינה היה קובר עצמו חי מ קנאה	אפילו ה גוי מה כפר שלי מ אוקראינה חיה כובל עצמו חי עם מיתנה
common_voice_he_38094118	אחת את ו יחידה טבעת ענקית כובלת	אחת עד ו יחידה טבעת ענקית קובלת
common_voice_he_38142087	נתגלה רצון ל עבד ל יצר ו איך הצליחה ה פעלה	נתגלה רצון ל עבד ל יצר ו ה צבי ככה פעלה
common_voice_he_38196122	כן זה חשוב במיוחד ב ימים ה אלה	כסף חשוב במיוחד ב ימים ה אלה
common_voice_he_39327082	אני אומרת תמיד ש לא ו זאת אמת	אני אומר את תמיד ש לא ו זאת אמת
common_voice_he_38078776	כי אחרי ה כל נקשרים ל מקום ו ל אנשים ב מידה ש קשה לתארה ב שעה שאת נמצאת בו	כי אחרי ה כל נקשרים ל מקום ו אנשים ב מידה ש קשה ל טהרה ב שעה שאת מוצאת
common_voice_he_40909695	הרי מי הכי סובל מ עניין ה דיור	הרי מי הכי סבל ב עניין ה דיור
common_voice_he_38115879	אבל ב אותו זמן בא איזה אדם ו בשר ש ה ילדים נמצאים ב עיר אחרת	אבל ב אותו זמן בא על ידי אדם ו בשל ש ילדים נמצאים ב עיר אחרת
common_voice_he_38094126	ו חלקן לא משלמות משכורות זה כמה חדשים	ו חלקן לא ב שלמות משכורות זה כמה חדשים
common_voice_he_38142076	ה ים מאוד גועש נראה לי דגל שחר	היה מאוד גועש נראה לי דגל שחר
common_voice_he_38078771	יש פה חמר מגון מאוד של ספרים כי רב ה אנשים הביאו משהו	יש פה כ מר מגון מאוד של ספרים כי רב ה אנשים הבינו משהו
common_voice_he_38142089	היה אור ל רגע ו ב חוץ נעשה חשך	חיה אור ל רגע ו ב חוץ נעשה קשך
common_voice_he_38142071	זכויות ה אדם לא נבחנות רק ב זכות להפגין	זכויות ה אדם לא נבחנות רק ב זכות ל הדפתי
common_voice_he_41486356	הוא יהודי מה ש נקרא ב שפתנו ו עיבד	הוא יהודי מה ש נקרא ב שפתנו אבד
common_voice_he_39327138	אם תסכימו הריני מוכן לעשות בקר קצר ב חדרו	אם תסכימו הריני מוכן לעשות ב קור קצר ב חדרו
common_voice_he_38142097	כוונתי ל התרגשות סביב ה מאורעות ב ארץ ישראל ו ה קונגרסים ה ציוניים	כוונתי ל התרגשות סביבך מ הוראות ב ארץ ישראל ו ה קונגרסים ה ציוניים
common_voice_he_38118876	נוח לו ל אדם להיקבר עמק ב אדמה מאשר ללכת ל מדינה ארורה זו	נח לו ל אדם ו ייקבר עמק ב אדמה מאשר ללכת ל מדינה ארורה זו
common_voice_he_41486336	שמעתי שם הערות מאוד מעניינות לגבי תכנית ה התנתקות ו ה יציאה מ עזה	שמעתי ש ה מערות מאוד מעניינות לגבי תכנית ה התנתקות ו ה יציאה מ עזה
common_voice_he_38118868	אני צריכה להתרגל ל זה	אני שקל להתרגל ל זה
common_voice_he_38078784	ו משפחה ש הכנסתה גבוהה תשלם מס על ה קצבאות	ל משפחה ש הכנסתה גבוה תשלם מס על ה קצבאות
common_voice_he_38146706	היא הרגישה שמחה ו חייכנית	היא הרגישה שמחה ו היתכני
common_voice_he_40972184	ב ראשון ל ציון לא מדבר ב עשרים טונות גז	ב שריוני ציון לא מדבר ב עשרים טונות גז
common_voice_he_38085633	צמרות ה עצים נעו ב עדינות ב רוח ה חמימה	שמורות ה עצים נעו ב עדינות ל רוח ה חמימה
common_voice_he_39753068	מטלת אחריות לא לתת ל אנשים ל שמע הרהורים בין שהטין	מטלת אחריות לא לתת ל אנשים ל שמע הרהורים בין ה שיטים
common_voice_he_38104834	ב חוץ משתוללת רוח אימה ו ל פרקים גם קצת מטפטף	ב חוץ משתוללת רוח אימה ו ל פרקים גם קצת כ טפטפת
common_voice_he_38078777	אני אוהבת את ה ארץ או יותר נכון אני רוצה לאהוב	אני אוהבת את ה ארץ ו יותר נכון אני רוצה להראות
common_voice_he_40067777	אבא רץ אתי ב יער שאל אבא את אמי היכן חנה	אבא רץ אתי ב יער ו שאל את אמי היכן חנה
common_voice_he_38195452	איני מתכוונת להביע שב צורה בה חיית עד עכשיו היית כבול	איני מתכוונת להביאה שב צורה בה חיית עד עכשיו הייתה כבול
common_voice_he_38078779	תהיה זו ה יצירה העמקה ו ה מקורית ביותר ב דורה	תהיה זו ה ישירה העמקה ו ה מקורית ביותר ב זורה
common_voice_he_39771175	ב שורה ה תחתונה אומר כאן ש עד של קולות ה אלה מקרב ה צבור ה חילוני	ב שורה ה תחתונה אומר כאן ש עד של ה קולות ה אלה מ קרב ה צבור ה חילוני
common_voice_he_38094979	נשכבתי ליד ה מים ה שקטים	נשכרתי ליד ה מים ה שקטים
common_voice_he_39327147	גם כי יזקין לא יסור ממנה	גם כי הזקין לא יסור ממנה
common_voice_he_38085636	עם הרים ו עמקים עטופי דשא	אין הרים ו עמקים עטופי דשא
common_voice_he_38085653	סבא ש היה דיג בן דיגים טבע ב ים ב אחת ה סערות ה עזות ש פגעו בו	סבא ש היה דיג בין דיגים טבע ב ים ב אחת ה סערות ה עזות ש באו
common_voice_he_38094117	ו אנשים מעניינים נדירים כל כך	ו אנשים מעניינים לגרים כל כך
common_voice_he_40978528	צריך להביא תכנית בנין עיר תבע	צריך להביא תכנית בנין עיר אטב
common_voice_he_38142068	ה בלון ה אדם עף גבוה ב הרבה מה בלון ה ירק	ה בלון ה אדם אך גבוה ב גרדי מה בלון ה ירק
common_voice_he_40001949	גם כאשר יש נגדו כתב אישום	גם כאשר יש נגדו כתב אשור
common_voice_he_39753641	ה עולם עמוס משא ל עייפה	ה עולם עמוס מסע ל עייפה
common_voice_he_38078782	למרות ש ה תאריך ה זה ראש ה שנה ה אזרחי אינו מקבל ב ארץ כ ראש ה שנה	למרות שהקרית ה זה ראש ה שנה ה אזרחי אינו מקבל ב ארץ כ ראש ה שנה
common_voice_he_38142081	דני אבישי אתי רותי ו אמנון ש עמדו סביבו השתתקו ל שמע דבריו	דני אבישי אתי רותי ו אמנון ש עמדו סביבו השתתקו בשמת דבריו
common_voice_he_38883183	הוא לא אלוהי אברהם יצחק ו יעקב	ו לא אלוהי אברהם יצחק ו יעקב
common_voice_he_39327024	לי לא שחק ה מזל ב אמריקה כלום אתה יודע עם מי הנך מדבר	לי לא שחק ה מזל ב אמריקה כלום אתה יודע עם מינך מדבר
