filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_42922381,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41896622,8,8,8,0,0,0,0,1,1,1
common_voice_he_42358470,8,8,8,0,0,0,0,1,1,1
common_voice_he_43313168,7,7,7,0,0,0,0,1,1,1
common_voice_he_40977318,6,6,6,0,0,0,0,1,1,1
common_voice_he_42402440,6,6,6,0,0,0,0,1,1,1
common_voice_he_43281947,6,5,5,0,0,1,0.167,0.833,1,0.909
common_voice_he_43281958,6,6,6,0,0,0,0,1,1,1
common_voice_he_42487978,7,7,7,0,0,0,0,1,1,1
common_voice_he_42487979,6,6,6,0,0,0,0,1,1,1
common_voice_he_41019361,8,8,8,0,0,0,0,1,1,1
common_voice_he_41019364,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616556,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616557,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616558,7,7,7,0,0,0,0,1,1,1
common_voice_he_39350850,6,6,6,0,0,0,0,1,1,1
common_voice_he_39350851,6,6,6,0,0,0,0,1,1,1
common_voice_he_39350852,7,7,7,0,0,0,0,1,1,1
common_voice_he_40630793,8,8,8,0,0,0,0,1,1,1
common_voice_he_40630794,8,8,8,0,0,0,0,1,1,1
common_voice_he_40630795,7,7,7,0,0,0,0,1,1,1
common_voice_he_41066670,6,6,6,0,0,0,0,1,1,1
common_voice_he_41066672,9,9,9,0,0,0,0,1,1,1
common_voice_he_41066673,5,5,5,0,0,0,0,1,1,1
common_voice_he_40858574,7,7,7,0,0,0,0,1,1,1
common_voice_he_40858577,7,7,7,0,0,0,0,1,1,1
common_voice_he_40858579,9,9,9,0,0,0,0,1,1,1
common_voice_he_38283249,6,6,6,0,0,0,0,1,1,1
common_voice_he_38283250,6,6,6,0,0,0,0,1,1,1
common_voice_he_38283253,7,7,7,0,0,0,0,1,1,1
common_voice_he_41869858,8,8,8,0,0,0,0,1,1,1
common_voice_he_41869860,12,13,12,0,1,0,0.083,1,0.923,0.960
common_voice_he_41869861,6,6,6,0,0,0,0,1,1,1
common_voice_he_38883182,9,9,9,0,0,0,0,1,1,1
common_voice_he_38883183,6,5,5,0,0,1,0.167,0.833,1,0.909
common_voice_he_38883184,11,11,11,0,0,0,0,1,1,1
common_voice_he_38883186,12,12,12,0,0,0,0,1,1,1
common_voice_he_41486333,5,5,5,0,0,0,0,1,1,1
common_voice_he_41486334,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486336,10,9,8,1,0,1,0.200,0.800,0.889,0.842
common_voice_he_41486337,9,9,9,0,0,0,0,1,1,1
common_voice_he_40972184,7,6,6,0,0,1,0.143,0.857,1,0.923
common_voice_he_40972185,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_40972186,8,8,8,0,0,0,0,1,1,1
common_voice_he_40972188,8,8,8,0,0,0,0,1,1,1
common_voice_he_40909673,6,6,6,0,0,0,0,1,1,1
common_voice_he_40909674,9,9,9,0,0,0,0,1,1,1
common_voice_he_40909676,6,6,6,0,0,0,0,1,1,1
common_voice_he_40909677,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_39897721,8,8,8,0,0,0,0,1,1,1
common_voice_he_39897722,7,7,7,0,0,0,0,1,1,1
common_voice_he_39897723,6,6,6,0,0,0,0,1,1,1
common_voice_he_39897724,6,6,6,0,0,0,0,1,1,1
common_voice_he_43281934,6,5,4,1,0,1,0.333,0.667,0.800,0.727
common_voice_he_43281935,9,9,9,0,0,0,0,1,1,1
common_voice_he_43281936,11,10,10,0,0,1,0.091,0.909,1,0.952
common_voice_he_43281938,10,10,10,0,0,0,0,1,1,1
common_voice_he_40067774,6,6,6,0,0,0,0,1,1,1
common_voice_he_40067775,5,5,5,0,0,0,0,1,1,1
common_voice_he_40067777,11,10,8,2,0,1,0.273,0.727,0.800,0.762
common_voice_he_40067778,6,6,6,0,0,0,0,1,1,1
common_voice_he_38744643,6,5,5,0,0,1,0.167,0.833,1,0.909
common_voice_he_38744644,6,6,6,0,0,0,0,1,1,1
common_voice_he_38744646,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38744647,4,4,2,1,1,1,0.750,0.500,0.500,0.500
common_voice_he_38094978,4,4,4,0,0,0,0,1,1,1
common_voice_he_38094979,4,4,3,1,0,0,0.250,0.750,0.750,0.750
common_voice_he_38094980,6,6,6,0,0,0,0,1,1,1
common_voice_he_38094981,5,5,5,0,0,0,0,1,1,1
common_voice_he_39750876,7,7,7,0,0,0,0,1,1,1
common_voice_he_39750877,10,10,10,0,0,0,0,1,1,1
common_voice_he_39750878,6,6,6,0,0,0,0,1,1,1
common_voice_he_39750933,6,6,6,0,0,0,0,1,1,1
common_voice_he_39750937,8,8,8,0,0,0,0,1,1,1
common_voice_he_38883685,5,5,5,0,0,0,0,1,1,1
common_voice_he_38883686,8,8,8,0,0,0,0,1,1,1
common_voice_he_38883687,2,2,1,1,0,0,0.500,0.500,0.500,0.500
common_voice_he_38883688,7,7,7,0,0,0,0,1,1,1
common_voice_he_38883689,3,3,3,0,0,0,0,1,1,1
common_voice_he_40972199,6,6,6,0,0,0,0,1,1,1
common_voice_he_40972200,6,6,6,0,0,0,0,1,1,1
common_voice_he_40972201,14,14,14,0,0,0,0,1,1,1
common_voice_he_40972202,5,5,5,0,0,0,0,1,1,1
common_voice_he_40972203,9,9,9,0,0,0,0,1,1,1
common_voice_he_41617129,9,9,9,0,0,0,0,1,1,1
common_voice_he_41617130,8,8,8,0,0,0,0,1,1,1
common_voice_he_41617131,7,7,7,0,0,0,0,1,1,1
common_voice_he_41617133,5,5,5,0,0,0,0,1,1,1
common_voice_he_41617137,8,8,8,0,0,0,0,1,1,1
common_voice_he_40137979,6,5,5,0,0,1,0.167,0.833,1,0.909
common_voice_he_40137980,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40137981,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_40137982,6,6,6,0,0,0,0,1,1,1
common_voice_he_40137983,13,14,12,1,1,0,0.154,0.923,0.857,0.889
common_voice_he_43313116,7,7,7,0,0,0,0,1,1,1
common_voice_he_43313117,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_43313118,6,6,6,0,0,0,0,1,1,1
common_voice_he_43313119,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_43313120,8,8,8,0,0,0,0,1,1,1
common_voice_he_38568963,6,4,4,0,0,2,0.333,0.667,1,0.800
common_voice_he_38568964,10,6,5,1,0,4,0.500,0.500,0.833,0.625
common_voice_he_38568965,8,7,7,0,0,1,0.125,0.875,1,0.933
common_voice_he_38568966,14,12,9,3,0,2,0.357,0.643,0.750,0.692
common_voice_he_38568967,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_39659793,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39659794,8,8,5,3,0,0,0.375,0.625,0.625,0.625
common_voice_he_39659795,10,10,10,0,0,0,0,1,1,1
common_voice_he_39659796,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39659797,9,9,9,0,0,0,0,1,1,1
common_voice_he_40612852,6,6,6,0,0,0,0,1,1,1
common_voice_he_40612855,13,13,13,0,0,0,0,1,1,1
common_voice_he_40612862,11,12,10,1,1,0,0.182,0.909,0.833,0.870
common_voice_he_40612863,7,7,7,0,0,0,0,1,1,1
common_voice_he_40612866,9,8,8,0,0,1,0.111,0.889,1,0.941
common_voice_he_40612867,6,6,6,0,0,0,0,1,1,1
common_voice_he_41019415,8,8,8,0,0,0,0,1,1,1
common_voice_he_41019416,7,7,7,0,0,0,0,1,1,1
common_voice_he_41019419,6,6,6,0,0,0,0,1,1,1
common_voice_he_41019455,8,8,8,0,0,0,0,1,1,1
common_voice_he_41019456,5,5,5,0,0,0,0,1,1,1
common_voice_he_41019457,13,13,13,0,0,0,0,1,1,1
common_voice_he_38623331,7,7,7,0,0,0,0,1,1,1
common_voice_he_38623332,6,7,6,0,1,0,0.167,1,0.857,0.923
common_voice_he_38623333,7,7,7,0,0,0,0,1,1,1
common_voice_he_38623334,7,7,7,0,0,0,0,1,1,1
common_voice_he_38623347,7,6,6,0,0,1,0.143,0.857,1,0.923
common_voice_he_38623348,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_38623349,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_43503033,8,8,8,0,0,0,0,1,1,1
common_voice_he_43503040,8,8,8,0,0,0,0,1,1,1
common_voice_he_43503045,13,13,13,0,0,0,0,1,1,1
common_voice_he_43503050,6,6,6,0,0,0,0,1,1,1
common_voice_he_43503051,6,6,6,0,0,0,0,1,1,1
common_voice_he_43503055,13,12,12,0,0,1,0.077,0.923,1,0.960
common_voice_he_43503067,8,8,8,0,0,0,0,1,1,1
common_voice_he_43512945,8,8,8,0,0,0,0,1,1,1
common_voice_he_43512961,10,10,10,0,0,0,0,1,1,1
common_voice_he_40977316,12,13,11,1,1,0,0.167,0.917,0.846,0.880
common_voice_he_40978528,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40978535,6,6,6,0,0,0,0,1,1,1
common_voice_he_40978542,6,5,4,1,0,1,0.333,0.667,0.800,0.727
common_voice_he_40978546,6,6,6,0,0,0,0,1,1,1
common_voice_he_40978553,6,7,6,0,1,0,0.167,1,0.857,0.923
common_voice_he_40978560,7,7,7,0,0,0,0,1,1,1
common_voice_he_40978567,6,6,6,0,0,0,0,1,1,1
common_voice_he_40978573,8,8,8,0,0,0,0,1,1,1
common_voice_he_40978575,6,6,6,0,0,0,0,1,1,1
common_voice_he_40978592,8,8,8,0,0,0,0,1,1,1
common_voice_he_40978609,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38195450,4,4,4,0,0,0,0,1,1,1
common_voice_he_38195452,10,10,7,3,0,0,0.300,0.700,0.700,0.700
common_voice_he_38195454,10,10,10,0,0,0,0,1,1,1
common_voice_he_38196114,4,4,4,0,0,0,0,1,1,1
common_voice_he_38196115,3,2,2,0,0,1,0.333,0.667,1,0.800
common_voice_he_38196117,4,3,3,0,0,1,0.250,0.750,1,0.857
common_voice_he_38196118,8,8,8,0,0,0,0,1,1,1
common_voice_he_38196119,6,6,6,0,0,0,0,1,1,1
common_voice_he_38196120,7,7,7,0,0,0,0,1,1,1
common_voice_he_38196121,7,7,7,0,0,0,0,1,1,1
common_voice_he_38196122,5,4,3,1,0,1,0.400,0.600,0.750,0.667
common_voice_he_38196123,4,3,1,2,0,1,0.750,0.250,0.333,0.286
common_voice_he_38196124,7,6,6,0,0,1,0.143,0.857,1,0.923
common_voice_he_38196125,8,8,8,0,0,0,0,1,1,1
common_voice_he_38196126,6,6,6,0,0,0,0,1,1,1
common_voice_he_40909678,6,6,6,0,0,0,0,1,1,1
common_voice_he_40909679,9,9,9,0,0,0,0,1,1,1
common_voice_he_40909680,11,11,11,0,0,0,0,1,1,1
common_voice_he_40909681,6,6,6,0,0,0,0,1,1,1
common_voice_he_40909682,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_40909688,7,7,7,0,0,0,0,1,1,1
common_voice_he_40909689,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_40909690,6,4,4,0,0,2,0.333,0.667,1,0.800
common_voice_he_40909691,5,5,5,0,0,0,0,1,1,1
common_voice_he_40909692,9,9,9,0,0,0,0,1,1,1
common_voice_he_40909693,6,6,6,0,0,0,0,1,1,1
common_voice_he_40909694,6,6,6,0,0,0,0,1,1,1
common_voice_he_40909695,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40909696,8,8,8,0,0,0,0,1,1,1
common_voice_he_40909697,9,9,9,0,0,0,0,1,1,1
common_voice_he_40909699,6,6,6,0,0,0,0,1,1,1
common_voice_he_40909700,6,6,6,0,0,0,0,1,1,1
common_voice_he_40909701,7,7,7,0,0,0,0,1,1,1
common_voice_he_40909702,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616575,9,9,9,0,0,0,0,1,1,1
common_voice_he_41616579,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616580,8,8,8,0,0,0,0,1,1,1
common_voice_he_41616584,10,10,10,0,0,0,0,1,1,1
common_voice_he_41616601,8,7,7,0,0,1,0.125,0.875,1,0.933
common_voice_he_41616602,8,8,8,0,0,0,0,1,1,1
common_voice_he_41616604,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616612,8,8,8,0,0,0,0,1,1,1
common_voice_he_41616613,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616614,8,8,8,0,0,0,0,1,1,1
common_voice_he_41616616,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616617,5,5,5,0,0,0,0,1,1,1
common_voice_he_41616619,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616625,7,9,7,0,2,0,0.286,1,0.778,0.875
common_voice_he_41616629,11,11,11,0,0,0,0,1,1,1
common_voice_he_41616635,12,12,12,0,0,0,0,1,1,1
common_voice_he_41616636,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616637,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616638,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616640,8,8,8,0,0,0,0,1,1,1
common_voice_he_41616642,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616643,10,10,10,0,0,0,0,1,1,1
common_voice_he_41616644,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616655,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616656,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616667,9,9,9,0,0,0,0,1,1,1
common_voice_he_41616687,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616688,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616697,13,13,13,0,0,0,0,1,1,1
common_voice_he_41616704,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41616707,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616718,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616728,13,13,13,0,0,0,0,1,1,1
common_voice_he_41616729,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616730,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616731,11,11,11,0,0,0,0,1,1,1
common_voice_he_41616740,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616743,5,5,5,0,0,0,0,1,1,1
common_voice_he_41616745,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616748,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616756,5,5,5,0,0,0,0,1,1,1
common_voice_he_41616757,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616758,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41616760,8,8,8,0,0,0,0,1,1,1
common_voice_he_41616761,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616762,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616770,8,8,8,0,0,0,0,1,1,1
common_voice_he_41616772,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616788,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616790,8,8,8,0,0,0,0,1,1,1
common_voice_he_41616792,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616807,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616808,4,4,4,0,0,0,0,1,1,1
common_voice_he_41616809,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616811,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486343,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486344,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486345,9,9,9,0,0,0,0,1,1,1
common_voice_he_41486346,7,7,7,0,0,0,0,1,1,1
common_voice_he_41486347,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486353,5,5,5,0,0,0,0,1,1,1
common_voice_he_41486354,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486355,8,8,8,0,0,0,0,1,1,1
common_voice_he_41486356,5,6,5,0,1,0,0.200,1,0.833,0.909
common_voice_he_41486357,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486358,5,5,5,0,0,0,0,1,1,1
common_voice_he_41486359,5,5,5,0,0,0,0,1,1,1
common_voice_he_41486360,8,8,8,0,0,0,0,1,1,1
common_voice_he_41486361,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486362,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486368,4,4,4,0,0,0,0,1,1,1
common_voice_he_41486369,7,7,7,0,0,0,0,1,1,1
common_voice_he_41486370,7,7,7,0,0,0,0,1,1,1
common_voice_he_41486371,7,7,7,0,0,0,0,1,1,1
common_voice_he_41486372,13,13,13,0,0,0,0,1,1,1
common_voice_he_41486373,10,10,10,0,0,0,0,1,1,1
common_voice_he_41486374,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486375,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41486376,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41486377,6,6,6,0,0,0,0,1,1,1
common_voice_he_41486383,8,8,8,0,0,0,0,1,1,1
common_voice_he_41486384,7,7,7,0,0,0,0,1,1,1
common_voice_he_41486385,11,11,11,0,0,0,0,1,1,1
common_voice_he_41486386,5,5,5,0,0,0,0,1,1,1
common_voice_he_41486387,12,12,12,0,0,0,0,1,1,1
common_voice_he_41605155,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_41605156,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605157,5,5,5,0,0,0,0,1,1,1
common_voice_he_41605158,10,10,10,0,0,0,0,1,1,1
common_voice_he_41605159,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605160,7,7,7,0,0,0,0,1,1,1
common_voice_he_41605161,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605162,8,8,8,0,0,0,0,1,1,1
common_voice_he_41605163,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605164,9,9,9,0,0,0,0,1,1,1
common_voice_he_41605165,4,5,4,0,1,0,0.250,1,0.800,0.889
common_voice_he_41605168,10,10,10,0,0,0,0,1,1,1
common_voice_he_41605169,11,11,11,0,0,0,0,1,1,1
common_voice_he_41605170,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605171,8,8,8,0,0,0,0,1,1,1
common_voice_he_41605172,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_41605173,10,10,10,0,0,0,0,1,1,1
common_voice_he_41605176,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605177,8,8,8,0,0,0,0,1,1,1
common_voice_he_41605178,4,4,4,0,0,0,0,1,1,1
common_voice_he_41605179,9,9,9,0,0,0,0,1,1,1
common_voice_he_41605180,14,14,14,0,0,0,0,1,1,1
common_voice_he_41605181,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605183,7,7,7,0,0,0,0,1,1,1
common_voice_he_41605184,8,8,8,0,0,0,0,1,1,1
common_voice_he_41605185,7,7,7,0,0,0,0,1,1,1
common_voice_he_41605186,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605188,7,7,7,0,0,0,0,1,1,1
common_voice_he_41605190,10,10,10,0,0,0,0,1,1,1
common_voice_he_41605191,8,8,8,0,0,0,0,1,1,1
common_voice_he_41605192,8,8,8,0,0,0,0,1,1,1
common_voice_he_41605193,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605194,5,5,5,0,0,0,0,1,1,1
common_voice_he_41605195,7,7,7,0,0,0,0,1,1,1
common_voice_he_41605196,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605197,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605199,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605200,14,14,14,0,0,0,0,1,1,1
common_voice_he_41605201,5,5,4,1,0,0,0.200,0.800,0.800,0.800
common_voice_he_41605202,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605203,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605204,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605205,7,7,7,0,0,0,0,1,1,1
common_voice_he_41605206,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605208,10,10,10,0,0,0,0,1,1,1
common_voice_he_41605209,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41605211,7,7,7,0,0,0,0,1,1,1
common_voice_he_41605212,5,5,5,0,0,0,0,1,1,1
common_voice_he_41605213,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605214,8,8,8,0,0,0,0,1,1,1
common_voice_he_39326813,5,5,5,0,0,0,0,1,1,1
common_voice_he_39326815,12,12,12,0,0,0,0,1,1,1
common_voice_he_39326816,4,4,4,0,0,0,0,1,1,1
common_voice_he_39326817,10,10,10,0,0,0,0,1,1,1
common_voice_he_39326818,5,5,5,0,0,0,0,1,1,1
common_voice_he_39326825,5,5,5,0,0,0,0,1,1,1
common_voice_he_39326826,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_39326827,11,11,11,0,0,0,0,1,1,1
common_voice_he_39326828,9,9,9,0,0,0,0,1,1,1
common_voice_he_39326830,5,5,5,0,0,0,0,1,1,1
common_voice_he_39326852,5,5,5,0,0,0,0,1,1,1
common_voice_he_39326853,7,7,7,0,0,0,0,1,1,1
common_voice_he_39326854,4,4,4,0,0,0,0,1,1,1
common_voice_he_39326855,6,6,6,0,0,0,0,1,1,1
common_voice_he_39326856,6,6,6,0,0,0,0,1,1,1
common_voice_he_39326862,7,7,7,0,0,0,0,1,1,1
common_voice_he_39326863,12,12,12,0,0,0,0,1,1,1
common_voice_he_39326864,5,5,5,0,0,0,0,1,1,1
common_voice_he_39326865,11,11,10,1,0,0,0.091,0.909,0.909,0.909
common_voice_he_39326866,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327003,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327004,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327005,12,12,12,0,0,0,0,1,1,1
common_voice_he_39327006,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327007,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327020,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327022,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327024,12,11,10,1,0,1,0.167,0.833,0.909,0.870
common_voice_he_39327025,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327027,8,8,8,0,0,0,0,1,1,1
common_voice_he_39327033,2,2,2,0,0,0,0,1,1,1
common_voice_he_39327038,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327040,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327041,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_39327047,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327048,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327049,4,4,3,1,0,0,0.250,0.750,0.750,0.750
common_voice_he_39327050,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327051,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327063,3,3,3,0,0,0,0,1,1,1
common_voice_he_39327065,11,11,11,0,0,0,0,1,1,1
common_voice_he_39327066,10,10,10,0,0,0,0,1,1,1
common_voice_he_39327068,11,11,11,0,0,0,0,1,1,1
common_voice_he_39327081,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327082,6,7,6,0,1,0,0.167,1,0.857,0.923
common_voice_he_39327084,12,13,12,0,1,0,0.083,1,0.923,0.960
common_voice_he_39327085,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327091,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327092,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327093,3,3,3,0,0,0,0,1,1,1
