filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_38094124,7,7,3,3,1,1,0.714,0.429,0.429,0.429
common_voice_he_38085646,8,8,4,3,1,1,0.625,0.500,0.500,0.500
common_voice_he_38568967,10,7,4,3,0,3,0.600,0.400,0.571,0.471
common_voice_he_38118861,6,7,4,2,1,0,0.500,0.667,0.571,0.615
common_voice_he_38118869,4,4,2,2,0,0,0.500,0.500,0.500,0.500
common_voice_he_38118867,10,11,6,4,1,0,0.500,0.600,0.545,0.571
common_voice_he_38078783,6,6,3,3,0,0,0.500,0.500,0.500,0.500
common_voice_he_38196123,6,5,3,2,0,1,0.500,0.500,0.600,0.545
common_voice_he_38078787,8,8,4,4,0,0,0.500,0.500,0.500,0.500
common_voice_he_40909677,9,9,5,4,0,0,0.444,0.556,0.556,0.556
common_voice_he_38744647,7,8,5,2,1,0,0.429,0.714,0.625,0.667
common_voice_he_38104809,7,6,4,2,0,1,0.429,0.571,0.667,0.615
common_voice_he_38085644,8,9,6,2,1,0,0.375,0.750,0.667,0.706
common_voice_he_38568963,8,7,5,2,0,1,0.375,0.625,0.714,0.667
common_voice_he_38078773,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_38142067,6,7,5,1,1,0,0.333,0.833,0.714,0.769
common_voice_he_40972185,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_38085637,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_38568964,15,14,10,4,0,1,0.333,0.667,0.714,0.690
common_voice_he_38196115,3,3,2,1,0,0,0.333,0.667,0.667,0.667
common_voice_he_38146666,16,17,12,4,1,0,0.312,0.750,0.706,0.727
common_voice_he_38118877,10,10,7,3,0,0,0.300,0.700,0.700,0.700
common_voice_he_38568966,20,20,15,4,1,1,0.300,0.750,0.750,0.750
common_voice_he_38094118,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_38118879,14,14,10,4,0,0,0.286,0.714,0.714,0.714
common_voice_he_43281934,7,6,5,1,0,1,0.286,0.714,0.833,0.769
common_voice_he_38118863,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_38142087,11,11,8,3,0,0,0.273,0.727,0.727,0.727
common_voice_he_38142076,8,7,6,1,0,1,0.250,0.750,0.857,0.800
common_voice_he_38115879,16,16,13,2,1,1,0.250,0.812,0.812,0.812
common_voice_he_38094126,8,9,7,1,1,0,0.250,0.875,0.778,0.824
common_voice_he_38078776,20,19,16,2,1,2,0.250,0.800,0.842,0.821
common_voice_he_40909695,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_39327082,8,9,7,1,1,0,0.250,0.875,0.778,0.824
common_voice_he_39771116,8,9,7,1,1,0,0.250,0.875,0.778,0.824
common_voice_he_38078771,13,14,11,2,1,0,0.231,0.846,0.786,0.815
common_voice_he_38142089,9,9,7,2,0,0,0.222,0.778,0.778,0.778
common_voice_he_38196122,9,8,7,1,0,1,0.222,0.778,0.875,0.824
common_voice_he_39327138,9,10,8,1,1,0,0.222,0.889,0.800,0.842
common_voice_he_38118876,14,15,12,2,1,0,0.214,0.857,0.800,0.828
common_voice_he_38142097,14,14,11,3,0,0,0.214,0.786,0.786,0.786
common_voice_he_41486336,14,15,12,2,1,0,0.214,0.857,0.800,0.828
common_voice_he_38118866,10,9,8,1,0,1,0.200,0.800,0.889,0.842
common_voice_he_38118868,5,5,4,1,0,0,0.200,0.800,0.800,0.800
common_voice_he_38085633,10,10,8,2,0,0,0.200,0.800,0.800,0.800
common_voice_he_38146706,5,5,4,1,0,0,0.200,0.800,0.800,0.800
common_voice_he_40972184,10,9,8,1,0,1,0.200,0.800,0.889,0.842
common_voice_he_38078784,10,10,8,2,0,0,0.200,0.800,0.800,0.800
common_voice_he_38142099,10,10,8,2,0,0,0.200,0.800,0.800,0.800
common_voice_he_38078777,11,11,9,2,0,0,0.182,0.818,0.818,0.818
common_voice_he_38078779,11,11,9,2,0,0,0.182,0.818,0.818,0.818
common_voice_he_38195452,11,11,9,2,0,0,0.182,0.818,0.818,0.818
common_voice_he_40067777,11,11,10,0,1,1,0.182,0.909,0.909,0.909
common_voice_he_39771175,17,19,16,1,2,0,0.176,0.941,0.842,0.889
common_voice_he_38085636,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39327147,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_38094117,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_38085653,18,17,15,2,0,1,0.167,0.833,0.882,0.857
common_voice_he_41605172,12,13,11,1,1,0,0.167,0.917,0.846,0.880
common_voice_he_38094979,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40978528,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40001949,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39937266,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39753641,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_38142068,12,12,10,2,0,0,0.167,0.833,0.833,0.833
common_voice_he_38142081,13,12,11,1,0,1,0.154,0.846,0.917,0.880
common_voice_he_39831320,14,15,13,1,1,0,0.143,0.929,0.867,0.897
common_voice_he_38078780,14,14,12,2,0,0,0.143,0.857,0.857,0.857
common_voice_he_38146705,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_39771208,14,14,12,2,0,0,0.143,0.857,0.857,0.857
common_voice_he_41019364,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_39659793,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38744643,14,13,12,1,0,1,0.143,0.857,0.923,0.889
common_voice_he_38078786,7,6,6,0,0,1,0.143,0.857,1,0.923
common_voice_he_39326852,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41486375,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41486357,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_43281947,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40909690,7,6,6,0,0,1,0.143,0.857,1,0.923
common_voice_he_39327024,14,13,12,1,0,1,0.143,0.857,0.923,0.889
common_voice_he_38085651,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38094981,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38094128,7,8,7,0,1,0,0.143,1,0.875,0.933
